Date,Time,Price
20250326,50100,3048.2
20250326,50200,3048.5
20250326,50300,3047.7
20250326,50400,3047.5
20250326,50500,3047.9
20250326,50600,3048.5
20250326,50700,3048.7
20250326,50800,3049.1
20250326,50900,3047.3
20250326,51000,3046.9
20250326,51100,3047
20250326,51200,3046.7
20250326,51300,3046.9
20250326,51400,3047.1
20250326,51500,3047.5
20250326,51600,3047.8
20250326,51700,3048.5
20250326,51800,3048.3
20250326,51900,3048.6
20250326,52000,3048.6
20250326,52100,3048.5
20250326,52200,3048.4
20250326,52300,3048
20250326,52400,3047.9
20250326,52500,3047.6
20250326,52600,3047.6
20250326,52800,3047.7
20250326,52900,3047.9
20250326,53000,3048.1
20250326,53100,3048.2
20250326,53200,3049.1
20250326,53300,3049.6
20250326,53400,3049.7
20250326,53500,3049.7
20250326,53600,3049.5
20250326,53700,3049.9
20250326,53800,3050.2
20250326,53900,3050.4
20250326,54000,3050.7
20250326,54100,3050.3
20250326,54200,3050.6
20250326,54300,3050.7
20250326,54400,3050.8
20250326,54500,3051
20250326,54600,3051.6
20250326,54700,3052.2
20250326,54800,3051.6
20250326,54900,3051.9
20250326,55000,3052.6
20250326,55100,3052.5
20250326,55200,3052.4
20250326,55300,3052.5
20250326,55400,3052.9
20250326,55500,3053.8
20250326,55600,3054.5
20250326,55700,3055
20250326,55800,3055.5
20250326,55900,3055.5
20250326,60000,3055.2
20250326,60100,3054.5
20250326,60200,3054.6
20250326,60300,3055.6
20250326,60400,3055.9
20250326,60500,3055.6
20250326,60600,3055.4
20250326,60700,3056.5
20250326,60800,3056.4
20250326,60900,3056.8
20250326,61000,3055.9
20250326,61100,3056.3
20250326,61200,3056.8
20250326,61300,3056.4
20250326,61400,3055.7
20250326,61500,3056.8
20250326,61600,3056.4
20250326,61700,3056.3
20250326,61800,3056.5
20250326,61900,3055.9
20250326,62000,3055.9
20250326,62100,3055.2
20250326,62200,3055.5
20250326,62300,3056
20250326,62400,3056
20250326,62500,3056.4
20250326,62600,3056.5
20250326,62700,3056.9
20250326,62800,3057
20250326,62900,3056.9
20250326,63000,3057.5
20250326,63100,3057.2
20250326,63200,3057.5
20250326,63300,3057.3
20250326,63400,3057.2
20250326,63500,3057.5
20250326,63600,3057.4
20250326,63700,3057.5
20250326,63800,3057.6
20250326,63900,3057.2
20250326,64000,3057.2
20250326,64100,3056.6
20250326,64200,3056.8
20250326,64300,3057.2
20250326,64400,3057.3
20250326,64500,3057.4
20250326,64600,3057.1
20250326,64700,3057
20250326,64800,3057.5
20250326,64900,3057
20250326,65000,3057.2
20250326,65100,3057.5
20250326,65200,3057.9
20250326,65300,3057.5
20250326,65400,3057.9
20250326,65500,3058
20250326,65600,3058
20250326,65700,3058.1
20250326,65800,3058.3
20250326,65900,3058.2
20250326,70000,3058.4
20250326,70100,3058
20250326,70200,3057.4
20250326,70300,3057.3
20250326,70400,3057.7
20250326,70500,3058.1
20250326,70600,3058
20250326,70700,3057.9
20250326,70800,3059
20250326,70900,3059.6
20250326,71000,3058.8
20250326,71100,3059.3
20250326,71200,3059.3
20250326,71300,3059.3
20250326,71400,3059.4
20250326,71500,3058.9
20250326,71600,3059.1
20250326,71700,3059.2
20250326,71800,3059.4
20250326,71900,3059.1
20250326,72000,3058.8
20250326,72100,3058.6
20250326,72200,3058.7
20250326,72300,3058.8
20250326,72400,3058.2
20250326,72500,3058.5
20250326,72600,3058.3
20250326,72700,3058.3
20250326,72800,3059.5
20250326,72900,3058.7
20250326,73000,3058.8
20250326,73100,3059.1
20250326,73200,3059.1
20250326,73300,3059.7
20250326,73400,3059.8
20250326,73500,3059.8
20250326,73600,3060.5
20250326,73700,3061
20250326,73800,3060.8
20250326,73900,3060.5
20250326,74000,3060.3
20250326,74100,3060.3
20250326,74200,3060.5
20250326,74300,3060.7
20250326,74400,3061.6
20250326,74500,3061.3
20250326,74600,3061.4
20250326,74700,3061.6
20250326,74800,3062
20250326,74900,3062.5
20250326,75000,3062.3
20250326,75100,3062.5
20250326,75200,3062.5
20250326,75300,3062.9
20250326,75400,3062.4
20250326,75500,3061.7
20250326,75600,3062.1
20250326,75700,3062.4
20250326,75800,3062.7
20250326,75900,3063.1
20250326,80000,3062.9
20250326,80100,3063
20250326,80200,3063.3
20250326,80300,3063.6
20250326,80400,3064.3
20250326,80500,3064.3
20250326,80600,3063
20250326,80700,3063.4
20250326,80800,3063.6
20250326,80900,3063.1
20250326,81000,3063.1
20250326,81100,3063.6
20250326,81200,3063.3
20250326,81300,3063.4
20250326,81400,3063
20250326,81500,3062.1
20250326,81600,3061.3
20250326,81700,3061.2
20250326,81800,3060.8
20250326,81900,3060.5
20250326,82000,3060.3
20250326,82100,3060.8
20250326,82200,3060.4
20250326,82300,3060
20250326,82400,3060.1
20250326,82500,3059.6
20250326,82600,3059.2
20250326,82700,3059.2
20250326,82800,3058.8
20250326,82900,3059.3
20250326,83000,3060.3
20250326,83100,3059.9
20250326,83200,3060.4
20250326,83300,3059.9
20250326,83400,3059.8
20250326,83500,3060
20250326,83600,3060.2
20250326,83700,3060.4
20250326,83800,3060.3
20250326,83900,3059.9
20250326,84000,3059.3
20250326,84100,3058.7
20250326,84200,3059
20250326,84300,3058.8
20250326,84400,3059.3
20250326,84500,3059.2
20250326,84600,3059
20250326,84700,3058.7
20250326,84800,3058.5
20250326,84900,3058.4
20250326,85000,3058.3
20250326,85100,3057.9
20250326,85200,3057
20250326,85300,3056.9
20250326,85400,3056.9
20250326,85500,3056.7
20250326,85600,3056.5
20250326,85700,3056.3
20250326,85800,3056.8
20250326,85900,3056.5
20250326,90000,3057.1
20250326,90100,3056.7
20250326,90200,3055.9
20250326,90300,3056.2
20250326,90400,3056
20250326,90500,3055.4
20250326,90600,3056.1
