Date,Time,Price
20250326,5100,20528.75
20250326,5200,20528.25
20250326,5300,20529.5
20250326,5400,20528.5
20250326,5500,20527.5
20250326,5600,20529.75
20250326,5700,20528.5
20250326,5800,20527.25
20250326,5900,20526
20250326,10000,20526.5
20250326,10100,20526.25
20250326,10200,20523.5
20250326,10300,20523.25
20250326,10400,20524
20250326,10500,20522
20250326,10600,20520.5
20250326,10700,20521
20250326,10800,20519.25
20250326,10900,20517.25
20250326,11000,20517.75
20250326,11100,20517.75
20250326,11200,20520
20250326,11300,20521.25
20250326,11400,20520.25
20250326,11500,20518.75
20250326,11600,20519.5
20250326,11700,20521.75
20250326,11800,20521.5
20250326,11900,20521.75
20250326,12000,20521.25
20250326,12100,20519.75
20250326,12200,20520
20250326,12300,20518.5
20250326,12400,20514.25
20250326,12500,20514
20250326,12600,20516.75
20250326,12700,20516
20250326,12800,20515.5
20250326,12900,20515.5
20250326,13000,20514.5
20250326,13100,20512.75
20250326,13200,20512.75
20250326,13300,20512
20250326,13400,20510
20250326,13500,20513.25
20250326,13600,20510.5
20250326,13700,20509.25
20250326,13800,20510
20250326,13900,20510.25
20250326,14000,20511.75
20250326,14100,20510.25
20250326,14200,20508.5
20250326,14300,20510.25
20250326,14400,20510
20250326,14500,20510
20250326,14600,20510.75
20250326,14700,20512.5
20250326,14800,20514
20250326,14900,20509.25
20250326,15000,20511.25
20250326,15100,20513.5
20250326,15200,20510.5
20250326,15300,20512.25
20250326,15400,20512.25
20250326,15500,20512.5
20250326,15600,20513
20250326,15700,20510.25
20250326,15800,20510.5
20250326,15900,20510
20250326,20000,20511
20250326,20100,20510.75
20250326,20200,20511.75
20250326,20300,20512.5
20250326,20400,20508.25
20250326,20500,20506.75
20250326,20600,20506
20250326,20700,20504.75
20250326,20800,20504.5
20250326,20900,20505.25
20250326,21000,20504.25
20250326,21100,20503.75
20250326,21200,20503
20250326,21300,20502.5
20250326,21400,20503.75
20250326,21500,20502
20250326,21600,20501
20250326,21700,20499.5
20250326,21800,20499
20250326,21900,20498.5
20250326,22000,20499
20250326,22100,20498.5
20250326,22200,20499.75
20250326,22300,20499
20250326,22400,20498.75
20250326,22500,20491.25
20250326,22600,20479
20250326,22700,20477
20250326,22800,20479.5
20250326,22900,20473.5
20250326,23000,20478.25
20250326,23100,20476
20250326,23200,20478
20250326,23300,20478.25
20250326,23400,20477.75
20250326,23500,20476.5
20250326,23600,20478.75
20250326,23700,20481.75
20250326,23800,20481.75
20250326,23900,20478
20250326,24000,20478.75
20250326,24100,20479.5
20250326,24200,20480.25
20250326,24300,20482
20250326,24400,20482.25
20250326,24500,20481.75
20250326,24600,20483.75
20250326,24700,20483.25
20250326,24800,20485
20250326,24900,20486.75
20250326,25000,20488.5
20250326,25100,20489
20250326,25200,20491.75
20250326,25300,20492
20250326,25400,20490
20250326,25500,20490.75
20250326,25600,20491.75
20250326,25700,20491.5
20250326,25800,20489.5
20250326,25900,20491.25
20250326,30000,20494
20250326,30100,20493.25
20250326,30200,20492.25
20250326,30300,20491.75
20250326,30400,20492
20250326,30500,20491.75
20250326,30600,20492.25
20250326,30700,20492.25
20250326,30800,20494.25
20250326,30900,20491.25
20250326,31000,20492.5
20250326,31100,20491.5
20250326,31200,20492
20250326,31300,20488.25
20250326,31400,20486
20250326,31500,20487.25
20250326,31600,20486.5
20250326,31700,20488.5
20250326,31800,20488
20250326,31900,20484.75
20250326,32000,20484.75
20250326,32100,20485.75
20250326,32200,20487
20250326,32300,20486.75
20250326,32400,20485.75
20250326,32500,20485.5
20250326,32600,20485.25
20250326,32700,20485.75
20250326,32800,20487.75
20250326,32900,20487.25
20250326,33000,20486.25
20250326,33100,20484.5
20250326,33200,20482.75
20250326,33300,20481.25
20250326,33400,20480.75
20250326,33500,20480.5
20250326,33600,20481
20250326,33700,20480.5
20250326,33800,20474.75
20250326,33900,20475
20250326,34000,20475.5
20250326,34100,20476
20250326,34200,20477.5
20250326,34300,20478
20250326,34400,20478
20250326,34500,20475.5
20250326,34600,20476.5
20250326,34700,20476.5
20250326,34800,20475.5
20250326,34900,20472.5
20250326,35000,20473.5
20250326,35100,20477.25
20250326,35200,20478.5
20250326,35300,20476.75
20250326,35400,20477
20250326,35500,20477.5
20250326,35600,20476
20250326,35700,20476.25
20250326,35800,20478
20250326,35900,20478.75
20250326,40000,20478.75
20250326,40100,20479.75
20250326,40200,20479.25
20250326,40300,20480.25
20250326,40400,20480.25
20250326,40500,20477.75
20250326,40600,20476.5
20250326,40700,20477
20250326,40800,20476.75
20250326,40900,20477
20250326,41000,20477.5
20250326,41100,20479.25
20250326,41200,20478.75
20250326,41300,20478.75
20250326,41400,20477
20250326,41500,20477.5
20250326,41600,20476.75
20250326,41700,20476.25
20250326,41800,20475.5
20250326,41900,20476.5
20250326,42000,20477
20250326,42100,20476.5
20250326,42200,20476
20250326,42300,20475
20250326,42400,20474.25
20250326,42500,20474
20250326,42600,20473.5
20250326,42700,20474.25
20250326,42800,20475.5
20250326,42900,20474.25
20250326,43000,20473.75
20250326,43100,20473.25
20250326,43200,20473.75
20250326,43300,20472.75
20250326,43400,20473
20250326,43500,20475.5
20250326,43600,20476.5
20250326,43700,20479.25
20250326,43800,20479.25
20250326,43900,20479.75
20250326,44000,20480.5
20250326,44100,20481.25
20250326,44200,20478.75
20250326,44300,20479
20250326,44400,20481.5
20250326,44500,20481.75
20250326,44600,20480.75
20250326,44700,20480.75
20250326,44800,20479.5
20250326,44900,20479.25
20250326,45000,20476.75
20250326,45100,20478.25
20250326,45200,20478.75
20250326,45300,20481.5
20250326,45400,20482
20250326,45500,20482.5
20250326,45600,20482.25
20250326,45700,20482.75
20250326,45800,20482.75
20250326,45900,20483
20250326,50000,20483.75
20250326,50100,20483.25
20250326,50200,20483.25
20250326,50300,20483.5
20250326,50400,20486
20250326,50500,20486.25
20250326,50600,20487.5
20250326,50700,20487
20250326,50800,20487.25
20250326,50900,20487.75
20250326,51000,20488
20250326,51100,20487.5
20250326,51200,20487.25
20250326,51300,20487
20250326,51400,20489.25
20250326,51500,20489
20250326,51600,20488.75
20250326,51700,20489
20250326,51800,20490
20250326,51900,20490
20250326,52000,20490.5
20250326,52100,20490.75
20250326,52200,20491.25
20250326,52300,20494.75
20250326,52400,20491.5
20250326,52500,20488.75
20250326,52600,20488.25
20250326,52700,20486.75
20250326,52800,20482.75
20250326,52900,20482.5
20250326,53000,20483
20250326,53100,20482.75
20250326,53200,20481
20250326,53300,20480.75
20250326,53400,20480
20250326,53500,20481
20250326,53600,20479.25
20250326,53700,20478.5
20250326,53800,20480.25
20250326,53900,20477.75
20250326,54000,20477.25
20250326,54100,20477
20250326,54200,20475.5
20250326,54300,20477.5
20250326,54400,20470.25
20250326,54500,20473.25
20250326,54600,20473.5
20250326,54700,20472.75
20250326,54800,20472.75
20250326,54900,20470.75
20250326,55000,20466
20250326,55100,20465.25
20250326,55200,20464.5
20250326,55300,20464.5
20250326,55400,20465.75
20250326,55500,20464.25
20250326,55600,20466
20250326,55700,20464
20250326,55800,20462.5
20250326,55900,20462.5
20250326,60000,20461.75
20250326,60100,20460
20250326,60200,20461.25
20250326,60300,20459
20250326,60400,20459
20250326,60500,20457
20250326,60600,20459
20250326,60700,20462.5
20250326,60800,20461.5
20250326,60900,20462
20250326,61000,20461.5
20250326,61100,20459
20250326,61200,20459
20250326,61300,20459
20250326,61400,20458.75
20250326,61500,20459
20250326,61600,20458.5
20250326,61700,20458.75
20250326,61800,20458.25
20250326,61900,20459.25
20250326,62000,20458.25
20250326,62100,20458.75
20250326,62200,20462
20250326,62300,20460
20250326,62400,20460.5
20250326,62500,20462.75
20250326,62600,20461.75
20250326,62700,20462.5
20250326,62800,20465
20250326,62900,20462
20250326,63000,20460.5
20250326,63100,20454.25
20250326,63200,20454.25
20250326,63300,20457.75
20250326,63400,20456
20250326,63500,20455.75
20250326,63600,20453.75
20250326,63700,20459.5
20250326,63800,20460.25
20250326,63900,20460.5
20250326,64000,20458.75
20250326,64100,20459.75
20250326,64200,20463.75
20250326,64300,20465.25
20250326,64400,20463.25
20250326,64500,20464.75
20250326,64600,20464.25
20250326,64700,20464.5
20250326,64800,20465
20250326,64900,20464.75
20250326,65000,20464.75
20250326,65100,20465.75
20250326,65200,20469.75
20250326,65300,20469
20250326,65400,20469.5
20250326,65500,20471.5
20250326,65600,20470.75
20250326,65700,20470.25
20250326,65800,20470.75
20250326,65900,20472.75
20250326,70000,20472.75
20250326,70100,20473.25
20250326,70200,20477.25
20250326,70300,20478
20250326,70400,20478
20250326,70500,20478.75
20250326,70600,20478
20250326,70700,20476.25
20250326,70800,20481
20250326,70900,20478
20250326,71000,20476
20250326,71100,20476.25
20250326,71200,20476.25
20250326,71300,20473.75
20250326,71400,20472.5
20250326,71500,20473
20250326,71600,20472
20250326,71700,20474.25
20250326,71800,20474.75
20250326,71900,20482.25
20250326,72000,20485
20250326,72100,20485.5
20250326,72200,20487.5
20250326,72300,20486.25
20250326,72400,20486.5
20250326,72500,20486.75
20250326,72600,20487.75
20250326,72700,20487.75
20250326,72800,20488.25
20250326,72900,20488.25
20250326,73000,20488.25
20250326,73100,20490
20250326,73200,20488.25
20250326,73300,20490.5
20250326,73400,20490.25
20250326,73500,20490.5
20250326,73600,20490.75
20250326,73700,20492.5
20250326,73800,20493.5
20250326,73900,20495.25
20250326,74000,20495.25
20250326,74100,20497.5
20250326,74200,20495.25
20250326,74300,20494.25
